Firm,exchange,industry,year,asset_turnover,roa,roe,current_ratio,interest_cover,debt_to_equity_perc,debt-to_asset_perc,emission_trading,esg_combined,Environmental,Social,Governance,debt_to_asset_perc,Scope_1_and_2,co2_emission,size,ln_revenue,ln_debt,ln_equity,z_score,ln_co2_revenue,emission
AAC.AX,AX,Wholesale Trade,2020,0.24550442,3.46259787,5.36444914,5.84059,-15.35965,45.23363,28.7807,FALSE,29.47735179,11.09479467,17.05834742,71.15544441,28.7807,107008.9029,489553,21.084808,19.62708858,19.83934306,20.63267242,1.14180533,-6.52584057,1.46508712
AAC.AX,AX,Wholesale Trade,2021,0.17577801,4.37237224,6.74632561,7.94173,-10.45514,37.4522,24.67482,FALSE,30.69155404,16.96181949,13.97204475,74.68185863,24.67482,110108.5725,465728,21.184206,19.39720826,19.78481896,20.76692381,1.75103544,-6.34585121,1.75400908
AAC.AX,AX,Wholesale Trade,2022,0.15166621,10.69805835,16.17891363,8.95958,-13.47969,29.53103,19.58162,FALSE,26.60312284,20.26002055,13.30387058,56.55868787,19.58162,104656.9297,503501,21.443489,19.43615415,19.81290996,21.03263846,2.20536262,-6.30681317,1.82383624
AAC.AX,AX,Wholesale Trade,2023,0.14136965,0.36931909,0.5599291,7.41515,-12.92144,27.52832,18.07386,FALSE,32.4218163,17.55502434,23.59365651,64.02838577,18.07386,90648.06159,620004,21.590036,19.56306746,19.87933298,21.16928794,1.75184121,-6.22558626,1.97816377
AAC.AX,AX,Wholesale Trade,2024,0.14171815,-5.8187871,-8.96482198,5.6781,-8.64723,31.54359,20.23634,FALSE,32.53122179,25.12972882,19.66213444,62.90778719,20.23634,,686998,21.583813,19.6330145,19.98612288,21.13992275,1.34025089,-6.19292784,2.04383397
GNC.AX,AX,Wholesale Trade,2008,1.36742786,-3.20216136,-8.57745646,1.13199,-0.13805,103.95946,41.28374,FALSE,19.33498806,2.69645609,24.25320636,29.13978495,41.28374,,85296.7,20.817018,21.1482368,19.93231617,19.89325601,1.02023438,-9.79434575,0.05576603
GNC.AX,AX,Wholesale Trade,2009,1.56946894,9.84069953,19.00444559,1.87318,3.5725,27.87263,17.84198,FALSE,31.99261053,9.61538462,24.24135852,70,17.84198,,166109,20.803696,21.26111618,19.08007981,20.35760493,3.65892466,-9.2407167,0.09700804
GNC.AX,AX,Wholesale Trade,2010,1.23828818,7.46743963,12.14367178,1.82984,3.8417,25.81475,15.54314,FALSE,32.83632824,7.82828283,22.84548053,77.60714286,15.54314,,210712,21.479482,21.41135022,19.617931,20.9721551,2.61754825,-9.15310267,0.10589075
GNC.AX,AX,Wholesale Trade,2011,1.1654006,10.30343728,18.49131925,1.44477,4.64912,46.84199,24.40043,FALSE,39.11241669,6.8655303,34.78056768,82.06846418,24.40043,,293764,21.692225,21.74456502,20.28165528,21.04004544,2.30873432,-9.15403302,0.10579228
GNC.AX,AX,Wholesale Trade,2012,1.22847022,11.29805918,21.02155705,1.73504,6.10118,44.01818,24.34655,FALSE,41.97351456,20.69234368,33.34768878,80.28631262,24.34655,,379720,21.747586,21.92605794,20.33480533,21.15537288,3.14727408,-9.07886853,0.11405058
